ROR ID	Label
0227as991	Chungnam National University
0227as991	충남대학교
0227as991	CNU
02stey378	The University of Notre Dame Australia
02stey378	UNDA
02na6tz09	Universidade Estadual do Piau
02na6tz09	UESPI
04hadk112	Institute of Genetics and Biophysics
04hadk112	Istituto di Genetica e Biofisica
04hadk112	IGB
02erqft81	Marshall University
040yeqy86	Ludovika University of Public Service
040yeqy86	Nemzeti Közszolgálati Egyetem
040yeqy86	NKE
040yeqy86	UPS
040yeqy86	National University of Public Service
040yeqy86	University of Public Service
003aj1676	Volgograd Academy of the Russian Internal Affairs Ministry
003aj1676	Волгоградская академия Министерства внутренних дел Российской Федерации
02hh7en24	University of Colorado Denver
02hh7en24	Universidad de Colorado en Denver
02hh7en24	Université du Colorado à Denver
02hh7en24	UCD
03tqb8s11	Yangzhou University
03tqb8s11	扬州大学
026sv7t11	Qingdao National Laboratory for Marine Science and Technology
026sv7t11	青岛海洋科学与技术国家实验室
026sv7t11	QNLM
0064kty71	Sun Yat-sen University
0064kty71	中山大学
02jbv0t02	Lawrence Berkeley National Laboratory
02jbv0t02	Laboratoire national lawrence-berkeley
02jbv0t02	LBL
02jbv0t02	LBNL
02jbv0t02	Berkeley Lab
02jbv0t02	United States Department of Energy Office of Science Lawrence Berkeley National Laboratory
05kytsw45	Örebro University
05kytsw45	Örebro universitet
05kytsw45	Örebron yliopisto
05kytsw45	Örebro Universitet
04d4mbk19	Pakistan Institute of Engineering and Applied Sciences
04d4mbk19	PIEAS
04d4mbk19	Reactor School
03ry6p839	Instituto Tecnológico Superior de Huatusco
03ry6p839	ITSH
03ry6p839	ITS Huatusco
0214k6v65	Laboratoire de Physique Corpusculaire
0214k6v65	LPC CLERMONT
03hgy0s07	Ho Chi Minh National Academy of Politics
03hgy0s07	Học viện Chính trị Quốc gia Hồ Chí Minh
03hgy0s07	HCMA
05x0h7m97	Ratchaburi Hospital
05x0h7m97	โรงพยาบาลราชบุรี
001gmya32	John Carroll University
001gmya32	JCU
00qg0kr10	Tokyo University of Agriculture and Technology
00qg0kr10	東京農工大学
00qg0kr10	TUAT
00qg0kr10	Tōkyō Nōkō Daigaku
040gcmg81	National Cancer Institute
040gcmg81	Institut National du Cancer
040gcmg81	Instituto Nacional del Cáncer
040gcmg81	NCI
03pcc9z86	Université de franche-comté
03pcc9z86	University of Franche-Comté
03pcc9z86	UFC
03spdpm68	State Marine Technical University of St. Petersburg
03spdpm68	Санкт-Петербургский государственный морской технический университет
03spdpm68	SPbGMTU
03spdpm68	Leningrad Order of Lenin Shipbuilding Institute
03spdpm68	Leningrad State Marine Technical University
05xcyt367	Loyola University Medical Center
05xcyt367	Foster G. McGaw Hospital
028crwz56	Universidad Nacional del Sur
05mm0yv21	Nizhny Novgorod State Pedagogical University
05mm0yv21	Нижегородский государственный технический университет им. Р. Е. Алексеева
05mm0yv21	Minin University
05jfsf459	Kalmyk State University
05jfsf459	Калмыцкий государственный университет
05jfsf459	KalmSU
04c8bjx39	Oxford Health NHS Foundation Trust
04c8bjx39	Oxfordshire and Buckinghamshire Mental Health Trust
04xqwq985	Inje University
04xqwq985	인제대학교
03gzbrs57	NewYork–Presbyterian Hospital
02tpw8g37	Institute of Nuclear Physics
02tpw8g37	Институт ядерной физики
02tpw8g37	Ядролық физика институты
02tpw8g37	Institute of Nuclear Physics of the Republic of Kazakhstan
001805t51	Royal Museum for Central Africa
001805t51	Koninklijk Museum voor Centraal -Afrika
001805t51	Musée royal de l'Afrique central
001805t51	RMCA 
001805t51	Africa Museum
0044e2g62	Minzu University of China
0044e2g62	中央民族大学
0044e2g62	MUC
0044e2g62	Zhōngyāng Mínzú Dàxúe
059gw8r13	Xinjiang University
059gw8r13	新疆大学
059gw8r13	XJU
059gw8r13	Xīnjiāng Dàxué
038g7dk46	University of Miskolc
